Recovery system is recovered!
   hRocket w/ rRocket v.1.4.3
   Option 1 - Press the button quickly to recover data.
   Option 2 - Press and hold by 3 seconds to erase memory.


Apogee (m) = 373.60

Error code = 
Time (s); Altitude (m)
0.00; 0.00
0.25; 3.90
0.50; 3.90
0.75; 5.70
1.00; 9.60
1.25; 19.40
1.50; 32.80
1.75; 53.50
2.00; 72.90
2.25; 89.70
2.50; 112.00
2.75; 130.90
3.00; 151.10
3.25; 168.80
3.50; 182.10
3.75; 198.50
4.00; 214.90
4.25; 230.70
4.50; 240.70
4.75; 254.40
5.00; 267.00
5.25; 280.00
5.50; 290.90
5.75; 299.10
6.00; 308.80
6.25; 317.60
6.50; 326.50
6.75; 333.70
7.00; 339.20
7.25; 345.80
7.50; 351.70
7.75; 356.80
8.00; 360.00
8.25; 363.90
8.50; 367.00
8.75; 369.50
9.00; 371.50
9.25; 372.80
9.50; 373.40
9.75; 373.60
10.00; 373.50
10.25; 372.40
10.50; 371.60
10.75; 370.10
11.00; 367.80
11.25; 365.50
11.50; 359.90
11.75; 360.00
12.00; 356.10
12.25; 354.00
12.50; 352.70
12.75; 349.60
13.00; 345.90
13.25; 344.60
13.50; 341.80
13.75; 339.80
14.00; 337.40
14.25; 334.80
14.50; 332.00
14.75; 329.30
15.00; 325.70
15.25; 325.60
15.50; 323.30
15.75; 321.10
16.00; 318.20
16.25; 315.70
16.50; 312.90
16.75; 310.90
17.00; 308.60
17.25; 306.70
17.50; 303.80
17.75; 301.30
18.00; 299.20
18.25; 296.80
18.50; 294.30
18.75; 291.80
19.00; 289.90
19.25; 287.30
19.50; 284.30
19.75; 281.20
20.00; 280.20
20.25; 277.40
20.50; 275.90
20.75; 272.00
21.00; 270.00
21.25; 267.80
21.50; 265.40
21.75; 261.70
22.00; 259.40
22.25; 258.60
22.50; 255.40
22.75; 253.30
23.00; 249.50
23.25; 247.60
23.50; 245.70
23.75; 243.70
24.00; 240.70
24.25; 237.40
24.50; 235.60
24.75; 233.80
25.00; 230.80
25.25; 229.00
25.50; 225.20
25.75; 223.40
26.00; 221.90
26.25; 218.60
26.50; 215.80
26.75; 213.50
27.00; 211.30
27.25; 208.90
27.50; 205.60
27.75; 203.00
28.00; 201.60
28.25; 197.70
28.50; 194.40
28.75; 192.50
29.00; 189.80
29.25; 188.00
29.50; 184.80
29.75; 180.60
30.00; 179.10
30.25; 177.50
30.50; 175.50
30.75; 171.80
31.00; 169.60
31.25; 167.50
31.50; 165.00
31.75; 162.30
32.00; 159.80
32.25; 156.90
32.50; 154.80
32.75; 152.70
33.00; 149.70
33.25; 145.90
33.50; 145.20
33.75; 142.60
34.00; 139.60
34.25; 137.60
34.50; 134.60
34.75; 131.70
35.00; 129.80
35.25; 127.30
35.50; 124.70
35.75; 122.80
36.00; 119.80
36.25; 117.80
36.50; 116.10
36.75; 113.30
37.00; 110.80
37.25; 109.00
37.50; 106.20
37.75; 103.30
38.00; 102.30
38.25; 100.20
38.50; 97.70
38.75; 95.20
39.00; 92.10
39.25; 90.60
39.50; 88.20
39.75; 85.90
40.00; 83.90
40.25; 80.60
40.50; 78.00
40.75; 76.00
41.00; 73.40
41.25; 71.30
41.50; 67.90
41.75; 66.20
42.00; 63.70
42.25; 60.90
42.50; 58.60
42.75; 57.30
43.00; 53.90
43.25; 50.90
43.50; 49.10
43.75; 47.00
44.00; 43.90
44.25; 42.30
44.50; 39.70
44.75; 36.90
45.00; 34.00
45.25; 32.80
45.50; 29.60
45.75; 28.60
46.00; 26.30
46.25; 22.50
46.50; 20.80
46.75; 18.20
47.00; 16.90
47.25; 13.80
47.50; 10.10
47.75; 8.80
48.00; 6.10
48.25; 4.30
48.50; 2.10
48.75; -0.60
49.00; -3.00
49.25; -4.60
49.50; -7.20
49.75; -10.40
50.00; -10.20
50.25; -10.70
50.50; -11.00
50.75; -10.80
51.00; -10.70
51.25; -10.60
51.50; -10.50
