     0.00    0.0000
     0.25    0.0000
     0.50    0.0000
     0.75    0.0000
     1.00    0.0000
     1.25    0.0000
     1.50    0.0000
     1.75    0.0000
     2.00    0.0000
     2.25    0.0000
     2.50    0.0000
     2.75    0.0000
     3.00    0.0000
     3.25    0.0000    0.0000
     3.50    0.0000    0.0000
     3.75    0.0000    0.0000
     4.00    0.0000    0.0000
     4.25    0.0000    0.0000
     4.50    0.0000    0.0000
     4.75    0.0000    0.0000
     5.00    0.0000    0.0000
     5.25    0.0000    0.0000
     5.50    0.0000    0.0000
     5.75    0.0000    0.0000
     6.00    0.0000    0.0000
     6.25    0.0000    0.0000
     6.50    0.0000    0.0000
     6.75    0.0000    0.0000
     7.00    0.0000    0.0000
     7.25    0.0000    0.0000
     7.50    0.0000    0.0000
     7.75    0.0000    0.0000
     8.00    0.0000    0.0000
     8.25    0.0000    0.0000
     8.50    0.0000    0.0000
     8.75    0.0000    0.0000
     9.00    0.0000    0.0000
     9.25    0.0000    0.0000
     9.50    0.0000    0.0000
     9.75    0.0000    0.0000
    10.00    0.0000    0.0000
    10.25    0.6125    0.0340
    10.50    2.4500    0.2042
    10.75    5.5125    0.6465
    11.00    9.8000    1.4972
    11.25   15.3125    2.8924
    11.50   22.0500    4.9681
    11.75   30.0125    7.7924
    12.00   39.2000   11.2972
    12.25   49.6125   15.3465
    12.50   61.2500   19.8042
    12.75   74.1125   24.5340
    13.00   88.2000   29.4000
    13.25  102.5938   34.2490
    13.50  116.3750   38.8937
    13.75  129.5437   43.1302
    14.00  142.1000   46.7542
    14.25  154.0438   49.5615
    14.50  165.3750   51.3479
    14.75  176.0938   52.0115
    15.00  186.2000   51.6542
    15.25  195.6938   50.4802
    15.50  204.5750   48.6938
    15.75  212.8438   46.4990
    16.00  220.5000   44.1000
    16.25  227.5438   41.6500
    16.50  233.9750   39.2000
    16.75  239.7938   36.7500
    17.00  245.0000   34.3000
    17.25  249.5938   31.8500
    17.50  253.5750   29.4000
    17.75  256.9438   26.9500
    18.00  259.7000   24.5000
    18.25  261.8438   22.0500
    18.50  263.3750   19.6000
    18.75  264.2938   17.1500
    19.00  264.6000   14.7000
    19.25  264.2938   12.2500
    19.50  263.3750    9.8000
    19.75  261.8438    7.3500
    20.00  259.7000    4.9000
    20.25  256.9438    2.4500
    20.50  253.5750    0.0000
    20.75  249.5938   -2.4500
    21.00  245.0000   -4.9000
    21.25  239.7938   -7.3500
    21.50  233.9750   -9.8000
    21.75  227.5438  -12.2500
    22.00  220.5000  -14.7000
    22.25  212.8438  -17.1500
    22.50  204.5750  -19.6000
    22.75  195.6938  -22.0500
    23.00  186.2000  -24.5000
    23.25  176.0938  -26.9500
    23.50  165.3750  -29.4000
    23.75  154.0438  -31.8500
    24.00  142.1001  -34.3000
    24.25  129.5438  -36.7500
    24.50  116.3750  -39.2000
    24.75  102.5938  -41.6500
    25.00   88.2000  -44.1000
    25.25   73.1938  -46.5500
    25.50   57.5751  -49.0000
    25.75   41.3438  -51.4500
    26.00   40.0000  -53.0389
    26.25   40.0000  -52.7969
    26.50   40.0000  -50.5813
    26.75   40.0000  -46.3240
    27.00   40.0000  -39.9570
    27.25   40.0000  -31.4122
    27.50   40.0000  -22.3438
    27.75   40.0000  -14.6233
    28.00   40.0000   -8.4681
    28.25   40.0000   -3.9462
    28.50   40.0000   -1.1257
    28.75   40.0000   -0.0747
    29.00   40.0000    0.0000
    29.25   40.0000    0.0000
    29.50   40.0000    0.0000
    29.75   40.0000    0.0000
    30.00   40.0000    0.0000
    30.25   40.0000    0.0000
    30.50   40.0000    0.0000
    30.75   40.0000    0.0000
