     0.00   -0.7728
     0.25    0.4698
     0.50   -0.9520
     0.75   -0.8904
     1.00   -0.2984
     1.25   -0.6612
     1.50    0.8872
     1.75   -0.9672
     2.00    0.3714
     2.25    0.7088
     2.50   -0.3132
     2.75   -0.1582
     3.00    0.2296
     3.25   -0.9158    0.2289
     3.50   -0.0256    0.2160
     3.75   -0.4772   -0.0343
     4.00   -0.0798   -0.1752
     4.25    0.4002   -0.1583
     4.50   -0.6964   -0.1702
     4.75    0.1892   -0.1266
     5.00    0.8062    0.0002
     5.25   -0.5254    0.1317
     5.50   -0.4556    0.1611
     5.75    0.8100    0.1190
     6.00   -0.4852    0.1739
     6.25   -0.8718    0.1168
     6.50    0.5434   -0.0644
     6.75    0.9934   -0.0381
     7.00   -0.6566    0.0586
     7.25   -0.2654   -0.0142
     7.50    0.6354   -0.0462
     7.75   -0.4294    0.0879
     8.00    0.4748    0.1822
     8.25   -0.0462    0.0508
     8.50    0.9506    0.0092
     8.75   -0.8236    0.1384
     9.00    0.2928    0.0858
     9.25    0.8378    0.0503
     9.50    0.4796    0.1002
     9.75   -0.3358    0.1460
    10.00   -0.1830    0.0354
    10.25   -0.2211   -0.0524
    10.50    2.2266    0.1385
    10.75    5.8297    0.4719
    11.00    9.0508    1.1548
    11.25   16.0635    2.5579
    11.50   22.8900    4.8298
    11.75   29.4539    7.7898
    12.00   38.6216   11.3194
    12.25   50.0265   15.4120
    12.50   61.8806   20.0488
    12.75   73.3405   24.7786
    13.00   89.0886   29.4455
    13.25  101.7688   34.2102
    13.50  116.6834   38.8939
    13.75  130.2175   43.2084
    14.00  142.6738   46.7616
    14.25  153.8956   49.6084
    14.50  166.0424   51.4991
    14.75  177.0110   52.2593
    15.00  186.0568   51.9392
    15.25  195.2670   50.6153
    15.50  204.0628   48.6961
    15.75  212.1754   46.3806
    16.00  221.0270   43.9226
    16.25  228.2526   41.3687
    16.50  233.4830   38.8160
    16.75  238.8840   36.4061
    17.00  244.8172   34.0690
    17.25  249.8517   31.7780
    17.50  253.3296   29.3732
    17.75  257.5780   26.8956
    18.00  260.1246   24.5233
    18.25  261.6454   22.2099
    18.50  263.3264   19.8155
    18.75  264.2396   17.2858
    19.00  264.1526   14.7987
    19.25  264.0852   12.3377
    19.50  263.0326    9.7515
    19.75  261.8182    7.1780
    20.00  258.9056    4.6492
    20.25  257.5026    2.2017
    20.50  253.0478   -0.1900
    20.75  249.9584   -2.5546
    21.00  245.7338   -4.8236
    21.25  239.8454   -7.1765
    21.50  234.0136   -9.5441
    21.75  227.1218  -11.9949
    22.00  221.4034  -14.4495
    22.25  213.8202  -16.8135
    22.50  204.0702  -19.3899
    22.75  194.7244  -22.0295
    23.00  187.0200  -24.5434
    23.25  175.3472  -26.9598
    23.50  164.7372  -29.5385
    23.75  153.6612  -32.2631
    24.00  142.3329  -34.7128
    24.25  128.6844  -36.9901
    24.50  116.0828  -39.4825
    24.75  101.6438  -42.0310
    25.00   88.5986  -44.3310
    25.25   72.9266  -46.5559
    25.50   58.2593  -48.9399
    25.75   40.4374  -51.4145
    26.00   40.5344  -52.9045
    26.25   40.9062  -52.4403
    26.50   40.0394  -50.1878
    26.75   40.3574  -45.9798
    27.00   40.9680  -39.5938
    27.25   40.6972  -30.9666
    27.50   39.3318  -21.9192
    27.75   39.1736  -14.5108
    28.00   40.2560   -8.5230
    28.25   39.0750   -4.0751
    28.50   39.8088   -1.4407
    28.75   39.2602   -0.6388
    29.00   40.1266   -0.6221
    29.25   40.1178   -0.3624
    29.50   39.1088   -0.2894
    29.75   39.3004   -0.2814
    30.00   40.0942   -0.1174
    30.25   39.6040    0.0618
    30.50   39.3310    0.0724
    30.75   39.1846   -0.1203
