     0.00   -0.4026
     0.25   -0.9426
     0.50   -0.1170
     0.75    0.7282
     1.00   -0.9518
     1.25   -0.4026
     1.50   -0.8830
     1.75    0.1356
     2.00    0.0920
     2.25    0.5886
     2.50   -0.8754
     2.75    0.9150
     3.00   -0.5952
     3.25    0.8712    0.2953
     3.50   38.1183    2.3773
     3.75   41.8198    6.7766
     4.00  -17.7348    8.1341
     4.25  -50.4883    4.2643
     4.50   -8.2513    0.8940
     4.75   -0.2684    0.3485
     5.00    0.4774   -3.9594
     5.25   -0.7294  -12.8176
     5.50   -0.3550  -15.5699
     5.75    0.4140   -7.9841
     6.00   -0.4132   -1.4396
     6.25    0.7430   -0.4593
     6.50    0.9714    1.7788
     6.75    0.2704    6.3168
     7.00    0.6582    7.8269
     7.25   -0.0806    4.0623
     7.50   -0.7148    0.7547
     7.75   -0.7444    0.1636
     8.00   -0.7526   -0.0984
     8.25   -0.5612   -0.3234
     8.50    0.2544   -0.5038
     8.75    0.5660   -0.5192
     9.00    0.0362   -0.3973
     9.25    0.3714   -0.1942
     9.50    0.9720    0.1420
     9.75    0.3988    0.4332
    10.00   -0.7696    0.4982
    10.25   48.0054    3.0634
    10.50   27.0339    7.1211
    10.75  -28.9376    6.8890
    11.00  -33.2628    3.2010
    11.25   28.6544    2.7197
    11.50   72.0886    8.3407
    11.75   43.5574    9.5626
    12.00   -4.1099    3.4499
    12.25   13.7271    4.2183
    12.50   86.8583   16.7922
    12.75  123.1482   29.0474
    13.00   87.9380   29.5602
    13.25   53.5490   27.1952
    13.50   91.5306   35.0410
    13.75  164.4977   48.0904
    14.00  185.6657   52.9122
    14.25  140.4961   47.4422
    14.50  115.5128   43.8078
    14.75  163.0794   49.9891
    15.00  229.0884   57.8478
    15.25  196.1168   53.5570
    15.50  204.0248   42.4681
    15.75  212.6768   41.0451
    16.00  220.6322   48.3994
    16.25  228.2480   50.2428
    16.50  234.6444   40.4449
    16.75  240.2328   33.8057
    17.00  244.3460   35.7201
    17.25  249.5058   34.9762
    17.50  252.6832   28.9529
    17.75  257.7906   22.9143
    18.00  258.9790   21.9784
    18.25  261.5362   21.7542
    18.50  263.3980   19.3052
    18.75  264.8112   16.9279
    19.00  263.6926   14.5631
    19.25  263.3554   12.0621
    19.50  262.7678    9.5885
    19.75  261.1988    7.2448
    20.00  260.5010    4.8232
    20.25  257.9435    2.3719
    20.50  252.6698   -0.0839
    20.75  250.4050   -2.3365
    21.00  245.5224   -4.5337
    21.25  239.3130   -6.8994
    21.50  233.3832   -9.4422
    21.75  227.3318  -12.1069
    22.00  219.6854  -14.6461
    22.25  212.6602  -17.2436
    22.50  204.5572  -19.9389
    22.75  195.4648  -22.4768
    23.00  230.0114  -22.3777
    23.25  211.8808  -20.2162
    23.50  140.9787  -21.9141
    23.75  105.3899  -28.3167
    24.00  142.2374  -33.3656
    24.25  177.3844  -33.1204
    24.50  141.7256  -36.4063
    24.75   67.7199  -48.2743
    25.00   45.3555  -56.3647
    25.25   86.5962  -52.3891
    25.50  107.9045  -45.9189
    25.75   55.0180  -50.1578
    26.00   39.1522  -56.7452
    26.25   39.3524  -51.1060
    26.50   39.5230  -39.6846
    26.75   40.5152  -36.2122
    27.00   40.6844  -39.5552
    27.25   39.9158  -35.4232
    27.50   40.1406  -23.7106
    27.75   40.4854  -16.3183
    28.00   39.1860  -14.3741
    28.25   40.2356  -11.5242
    28.50   39.5672   -5.3073
    28.75   40.7084   -0.7519
    29.00   40.0252    0.0698
    29.25   39.9754   -0.0828
    29.50   40.7668   -0.0675
    29.75   40.2106    0.0532
    30.00   40.0624    0.1569
    30.25   39.0194    0.1086
    30.50   40.9816    0.0303
    30.75   39.5724    0.0958
