     0.00   -0.0174
     0.25   -0.1044
     0.50   -0.3124
     0.75    0.0026
     1.00   -0.6374
     1.25   -0.2988
     1.50    0.7154
     1.75   -0.4990
     2.00   -0.8100
     2.25    0.7166
     2.50   -0.7996
     2.75   -0.2888
     3.00   -0.0596
     3.25    0.8496   -0.0260
     3.50   37.4309    2.2230
     3.75   41.6936    6.6120
     4.00  -16.8444    7.9664
     4.25  -50.4735    4.2955
     4.50   -9.3753    1.0324
     4.75   -0.7780    0.3926
     5.00   -0.3104   -3.9940
     5.25   -0.6602  -12.8447
     5.50    0.7762  -15.6039
     5.75   -0.3426   -8.1605
     6.00    0.3186   -1.5314
     6.25   -0.9314   -0.3934
     6.50    0.9384    1.8547
     6.75    0.9880    6.4653
     7.00    0.9106    7.9384
     7.25   -0.3834    4.1797
     7.50    0.9764    0.8903
     7.75   -0.1068    0.4427
     8.00    0.5124    0.4040
     8.25    0.9344    0.2164
     8.50    0.1662    0.0730
     8.75    0.1454    0.0558
     9.00    0.9062    0.0470
     9.25   -0.8480   -0.0804
     9.50    0.6466   -0.1363
     9.75   -0.9038   -0.2043
    10.00    0.8686   -0.2231
    10.25   49.0262    2.5435
    10.50   26.5275    6.6571
    10.75  -30.7636    6.4636
    11.00  -33.5338    2.9364
    11.25   28.7312    2.7786
    11.50   72.8658    8.4879
    11.75   42.1766    9.3526
    12.00   -3.2887    3.1766
    12.25   14.6507    4.2817
    12.50   86.9679   17.0601
    12.75  123.1816   29.2544
    13.00   88.2012   29.7074
    13.25   54.7898   27.6408
    13.50   90.8076   35.6061
    13.75  164.2223   48.2766
    14.00  185.2319   52.8277
    14.25  140.4695   47.3055
    14.50  114.6846   43.6380
    14.75  162.8980   49.5627
    15.00  228.7590   57.3043
    15.25  231.6033   55.1746
    15.50  179.4781   44.8297
    15.75  165.3170   39.4709
    16.00  220.2650   44.2851
    16.25  276.1836   48.9670
    16.50  258.1562   43.2239
    16.75  204.1031   31.9219
    17.00  202.1957   28.2325
    17.25  263.3701   33.8812
    17.50  302.6092   36.6573
    17.75  269.5140   28.7022
    18.00  216.3449   18.0820
    18.25  225.6039   16.8483
    18.50  288.0929   23.0805
    18.75  312.7749   23.8878
    19.00  264.4540   14.4907
    19.25  216.7957    5.2380
    19.50  238.0608    6.2091
    19.75  296.8759   12.5034
    20.00  303.1907   11.3352
    20.25  243.3945    0.8027
    20.50  203.0210   -7.0897
    20.75  235.8545   -4.3953
    21.00  288.4654    1.1862
    21.25  274.2915   -2.4343
    21.50  209.7564  -13.6781
    21.75  180.2421  -19.3616
    22.00  221.2940  -14.5875
    22.25  260.2390   -9.8635
    22.50  228.5741  -15.6952
    22.75  159.3760  -26.9523
    23.00  229.4254  -25.7982
    23.25  210.6310  -14.3180
    23.50  140.4567  -14.6274
    23.75  105.7035  -30.0735
    24.00  142.6258  -41.4611
    24.25  178.1072  -35.4839
    24.50  141.9974  -34.0090
    24.75   67.2571  -49.6123
    25.00   44.2679  -60.1186
    25.25   86.0644  -53.4773
    25.50  108.2287  -43.1190
    25.75   53.8702  -48.1978
    26.00   39.3104  -56.9882
    26.25   40.6374  -51.3495
    26.50   40.7738  -39.7135
    26.75   40.1700  -36.0224
    27.00   40.4372  -39.3363
    27.25   39.4546  -35.0903
    27.50   40.8426  -23.1992
    27.75   39.6296  -15.9863
    28.00   39.1226  -14.4611
    28.25   40.5590  -11.7874
    28.50   39.0954   -5.5244
    28.75   40.2836   -0.9859
    29.00   40.7062   -0.2317
    29.25   40.8828   -0.1987
    29.50   39.5468    0.0422
    29.75   40.4930    0.1322
    30.00   40.2502    0.2456
    30.25   39.5524    0.2976
    30.50   39.8066    0.1686
    30.75   40.4446    0.0322
