     0.00    0.0808
     0.25   -0.3312
     0.50    0.4304
     0.75   -0.1858
     1.00   -0.9858
     1.25   -0.6524
     1.50    0.2620
     1.75   -0.6448
     2.00   -0.0134
     2.25   -0.8566
     2.50    0.5330
     2.75    0.5766
     3.00    0.2300
     3.25   -0.4836    0.1694
     3.50   39.1435    2.3959
     3.75   39.9584    6.9007
     4.00  -17.9096    8.0965
     4.25  -49.8391    4.1184
     4.50   -9.4693    0.7121
     4.75    0.9114    0.2436
     5.00   -0.7462   -4.0793
     5.25    0.7052  -12.9190
     5.50   -0.8164  -15.3931
     5.75    0.0056   -7.8488
     6.00   -0.5318   -1.2434
     6.25   -0.2528   -0.3502
     6.50   -0.3380    1.7464
     6.75   -0.3518    6.1071
     7.00   -0.4816    7.2981
     7.25   -0.3766    3.5767
     7.50   -0.3724    0.2987
     7.75   -0.1304   -0.1175
     8.00   -0.4374   -0.0742
     8.25    0.3284   -0.0059
     8.50   -0.0458    0.0962
     8.75   -0.4230    0.1205
     9.00    0.6760    0.1885
     9.25   -0.7838    0.1948
     9.50   -0.7974    0.1372
     9.75    0.9330    0.1185
    10.00   -0.6404    0.0571
    10.25   49.3384    2.7669
    10.50   26.7343    6.9235
    10.75  -32.7392    6.5739
    11.00  -37.8784    2.7949
    11.25   20.9489    1.8332
    11.50   60.8862    6.3628
    11.75   28.6608    5.9007
    12.00  -24.3803   -2.3000
    12.25  -11.2039   -3.6156
    12.50   55.5227    6.6051
    12.75   84.9275   16.2964
    13.00   43.1494   14.3353
    13.25   51.2238   12.3340
    13.50   57.4264   22.1208
    13.75   62.9114   32.4264
    14.00   68.6976   30.8905
    14.25   72.9776   22.2153
    14.50   76.6112   20.8414
    14.75   80.4302   24.0548
    15.00   83.7074   21.3391
    15.25   85.5075   15.3922
    15.50   87.7312   12.8555
    15.75   88.1342   14.6869
    16.00   87.5922   14.9439
    16.25   87.6042   12.4710
    16.50   87.0628    9.9733
    16.75   85.7824    7.4596
    17.00   82.4972    4.8713
    17.25   80.8344    2.2755
    17.50   77.4468   -0.1458
    17.75   74.0210   -2.4726
    18.00   67.8968   -4.8770
    18.25   63.1752   -7.3994
    18.50   57.2624   -9.7818
    18.75   51.2336  -12.1319
    19.00   43.2324  -14.7080
    19.25   39.8192  -17.1906
    19.50   39.0748  -18.8725
    19.75   40.7246  -19.4003
    20.00   40.1634  -18.9396
    20.25   39.9714  -17.4688
    20.50   40.5704  -14.6971
    20.75   39.4832  -11.0627
    21.00   40.3218   -7.5108
    21.25   39.4220   -4.6654
    21.50   40.0010   -2.5496
    21.75   40.6900   -0.9431
    22.00   40.2058   -0.1499
    22.25   40.4372    0.0494
    22.50   39.5764    0.0104
    22.75   40.8836    0.0533
