     0.00    0.5902
     0.25    0.4672
     0.50    0.2552
     0.75   -0.1608
     1.00    0.1012
     1.25    0.6760
     1.50   -0.1026
     1.75   -0.5046
     2.00   -0.4084
     2.25    0.9264
     2.50    0.2800
     2.75    0.5388
     3.00    0.3932
     3.25    0.5326    0.1104
     3.50   39.0799    2.4527
     3.75   40.3258    6.8118
     4.00  -17.6422    7.9346
     4.25  -49.0257    4.1831
     4.50   -9.5285    0.8584
     4.75    0.0934    0.1976
     5.00   -0.8226   -4.2950
     5.25    0.8206  -13.0892
     5.50    0.1416  -15.4891
     5.75    0.7612   -7.9860
     6.00    0.9830   -1.3313
     6.25   -0.2202   -0.1891
     6.50   -0.9638    2.0268
     6.75    0.8116    6.4300
     7.00    0.9876    7.6833
     7.25    0.0230    3.9353
     7.50   -0.6408    0.4542
     7.75   -0.1516   -0.1987
     8.00   -0.5096   -0.1444
     8.25   -0.1152   -0.1623
     8.50    0.6876   -0.2770
     8.75    0.5916   -0.2681
     9.00   -0.4392   -0.0941
     9.25    0.8554    0.0595
     9.50    0.3576    0.1346
     9.75   -0.5772    0.1833
    10.00    0.7820    0.2311
    10.25   49.7714    2.9536
    10.50   32.5819    7.4775
    10.75  -19.3726    8.1211
    11.00  -14.7308    6.0550
    11.25   58.8890    8.4979
    11.50  115.9640   18.2210
    11.75  103.8772   24.8884
    12.00   73.3623   25.5932
    12.25  113.4505   34.5271
    12.50  208.7445   56.2834
    12.75  269.8750   77.9547
    13.00  263.6566   88.1786
    13.25  260.5022   95.6803
    13.50  326.8503  113.1929
    13.75  428.5423  135.1360
    14.00  479.8557  147.9085
    14.25  464.8100  149.6632
    14.50  468.2986  151.9353
    14.75  545.0693  162.2071
    15.00  641.7061  172.7243
    15.25  671.8000  172.1429
    15.50  650.5342  162.5725
    15.75  664.7124  157.2689
    16.00  749.6121  161.8043
    16.25  834.6909  166.3447
    16.50  846.9272  160.5347
    16.75  822.3048  149.2909
    17.00  848.6061  145.6599
    17.25  939.3226  151.3322
    17.50 1009.3376  154.2833
    17.75 1004.0378  146.4020
    18.00  981.2880  135.7834
    18.25 1019.6868  134.4510
    18.50 1111.1826  140.6388
    18.75 1165.1210  141.5107
    19.00 1146.2697  131.9770
    19.25 1127.0837  122.5829
    19.50 1179.0122  123.5308
    19.75 1267.1427  129.8329
    20.00 1302.5239  128.6573
    20.25 1273.0927  118.1538
    20.50 1261.2264  110.3870
    20.75 1324.4431  113.2947
    21.00 1406.2762  119.0644
    21.25 1421.5396  115.5355
    21.50 1384.2650  104.2767
    21.75 1384.8766   98.3995
    22.00 1455.6826  103.0280
    22.25 1525.7618  107.6646
    22.50 1524.1094  101.8050
    22.75 1483.3118   90.5797
    23.00 1494.4757   87.0155
    23.25 1571.3456   92.7463
    23.50 1625.9177   95.5499
    23.75 1607.6584   87.5698
    24.00 1567.8179   76.8172
    24.25 1593.1632   75.3702
    24.50 1671.0039   81.7256
    24.75 1708.4868   82.6695
    25.00 1674.9525   73.1956
    25.25 1689.4481   66.4564
    25.50 1703.5317   71.5619
    25.75 1717.0583   77.4536
    26.00 1730.6198   71.7385
    26.25 1741.0741   59.4348
    26.50 1753.8220   55.2837
    26.75 1763.2887   56.4997
