     0.00    0.6272
     0.25   -0.2036
     0.50    0.6282
     0.75   -0.3480
     1.00    0.4218
     1.25    0.4084
     1.50    0.1152
     1.75   -0.6306
     2.00    0.3712
     2.25   -0.0666
     2.50   -0.0846
     2.75   -0.9888
     3.00    0.8932
     3.25   -0.7618   -0.1534
     3.50   37.8015    1.9568
     3.75   41.1340    6.3238
     4.00  -17.3134    7.6681
     4.25  -50.7589    4.0517
     4.50   -8.3571    0.8072
     4.75   -0.3742    0.2789
     5.00    0.1090   -3.8658
     5.25   -0.4990  -12.6411
     5.50    0.0918  -15.3189
     5.75    0.9932   -7.7547
     6.00    0.0974   -1.1310
     6.25    0.8756   -0.0995
     6.50    0.8654    2.0845
     6.75   -0.1380    6.5536
     7.00   -0.9664    7.8608
     7.25   -0.1104    3.8986
     7.50    0.0448    0.4896
     7.75   -0.0686   -0.1049
     8.00    0.6862   -0.2788
     8.25   -0.3270   -0.3613
     8.50    0.5834   -0.2470
     8.75   -0.6216   -0.0692
     9.00    0.3518   -0.0163
     9.25   -0.3014    0.0432
     9.50   -0.2520    0.0406
     9.75   -0.2770    0.0117
    10.00    0.6320   -0.0584
    10.25   49.5722    2.6751
    10.50   27.1841    6.9657
    10.75  -30.0476    6.7997
    11.00  -32.5994    3.4151
    11.25   27.7582    3.2249
    11.50   72.2926    8.7580
    11.75   42.6422    9.5629
    12.00   -3.2767    3.2064
    12.25   13.8255    4.1135
    12.50   85.8373   16.5803
    12.75  122.3426   28.6544
    13.00   87.5370   29.2173
    13.25   54.9750   27.1532
    13.50   91.3042   35.1701
    13.75  165.3371   48.0968
    14.00  185.2241   53.0184
    14.25  140.8933   47.7360
    14.50  115.9438   44.2431
    14.75  162.2838   50.2509
    15.00  229.4558   57.9479
    15.25  196.5778   53.6868
    15.50  204.6346   42.5619
    15.75  213.7534   41.1360
    16.00  220.0570   48.3591
    16.25  227.1868   50.2091
    16.50  233.2632   40.3897
    16.75  240.7026   33.6419
    17.00  244.6120   35.5003
    17.25  249.6299   34.5882
    17.50  254.4774   28.6618
    17.75  257.4584   22.8660
    18.00  260.6700   22.2531
    18.25  261.4806   22.2671
    18.50  262.6852   19.7532
    18.75  265.1654   17.4062
    19.00  264.0112   14.8936
    19.25  264.1172   12.1992
    19.50  264.2068    9.5613
    19.75  261.0802    7.0585
    20.00  259.3612    4.6932
    20.25  256.3618    2.1523
    20.50  253.0162   -0.3403
    20.75  249.5938   -2.6576
    21.00  245.3664   -5.0776
    21.25  240.1624   -7.4606
    21.50  233.4114   -9.8575
    21.75  226.7342  -12.2713
    22.00  220.9320  -14.5999
    22.25  213.1196  -16.9910
    22.50  205.1640  -19.3972
    22.75  196.3494  -21.8560
    23.00  229.6612  -21.8946
    23.25  211.0974  -19.8840
    23.50  140.9397  -21.7683
    23.75  105.7351  -28.3693
    24.00  142.3926  -33.5626
    24.25  178.6938  -33.3633
    24.50  140.5406  -36.6529
    24.75   68.1413  -48.4690
    25.00   44.0595  -56.4805
    25.25   85.2054  -52.5935
    25.50  107.2639  -46.2325
    25.75   53.4128  -50.6760
    26.00  -17.8261  -60.5022
    26.25  -28.3109  -61.7656
    26.50   12.9789  -55.5265
    26.75   19.2472  -54.3948
    27.00  -39.9072  -63.1432
    27.25  -39.8960  -67.5915
    27.50  -39.1056  -58.1993
    27.75  -39.2460  -45.8324
    28.00  -39.4780  -42.2690
    28.25  -40.6644  -43.1207
    28.50  -40.2458  -34.6274
    28.75  -40.8412  -21.3387
    29.00  -40.0254  -15.0763
    29.25  -40.5390  -13.4096
    29.50  -39.3802   -9.9542
    29.75  -39.3228   -3.6315
    30.00  -39.2632   -0.1552
    30.25  -39.7912    0.0291
    30.50  -39.6672    0.2109
    30.75  -40.8328    0.3374
    31.00  -39.1424    0.4007
    31.25  -40.1020    0.2907
    31.50  -39.8454    0.0859
    31.75  -40.5804   -0.1032
    32.00  -40.9780   -0.2981
    32.25  -39.6788   -0.3104
