     0.00    0.5660
     0.25    0.1086
     0.50   -0.2812
     0.75    0.7192
     1.00    0.1042
     1.25   -0.5092
     1.50    0.9688
     1.75    0.9618
     2.00    0.2070
     2.25    0.4816
     2.50    0.1468
     2.75   -0.2616
     3.00    0.3030
     3.25   -0.3934   -0.0418
     3.50   49.7235    2.5593
     3.75  -47.8260    2.6126
     4.00   -0.1736   -0.0782
     4.25    0.9964   -0.0422
     4.50    0.9720    0.0881
     4.75    0.8766    0.3081
     5.00   -0.2542   -5.0735
     5.25    0.5506   -5.2296
     5.50    0.4170    0.1923
     5.75    0.2648    0.1324
     6.00    0.7040   -0.0302
     6.25    0.3830   -0.1802
     6.50    0.4194    2.5358
     6.75   -0.2708    2.6165
     7.00    0.1388   -0.1650
     7.25    0.1968   -0.1764
     7.50   -0.0844   -0.1684
     7.75   -0.2952   -0.2076
     8.00   -0.6946   -0.3172
     8.25   -0.0952   -0.3611
     8.50    0.6946   -0.2594
     8.75    0.4096   -0.1974
     9.00    0.3956   -0.1114
     9.25    0.6634    0.0500
     9.50   -0.3582    0.2216
     9.75    0.8730    0.3462
    10.00   -0.5846    0.2883
    10.25   26.4008    1.6184
    10.50  -41.2396    0.7109
    10.75   56.2309    1.4049
    11.00  -32.8363    2.6157
    11.25   40.6790    2.9504
    11.50   22.9254    6.4852
    11.75    5.7767    5.2726
    12.00   82.8617   11.8905
    12.25   -0.2677   14.8722
    12.50  105.1920   18.1188
    12.75   49.4876   25.8693
    13.00   89.1444   26.5200
    13.25  127.6466   36.8090
    13.50   73.9890   37.3379
    13.75  180.1888   43.1147
    14.00   98.2355   48.2241
    14.25  178.6512   46.8558
    14.50  166.0142   54.1339
    14.75  150.9471   49.2495
    15.00  230.2981   52.9502
    15.25  196.5244   53.0092
    15.50  204.3986   50.1758
    15.75  211.9490   51.1343
    16.00  220.2354   44.5502
    16.25  227.0620   46.2260
    16.50  233.7602   40.6687
    16.75  238.9248   33.6252
    17.00  245.4520   31.4561
    17.25  249.2914   28.0636
    17.50  252.5792   27.0728
    17.75  257.8114   23.3372
    18.00  260.4566   22.1076
    18.25  262.7298   22.3653
    18.50  263.2314   20.0393
    18.75  264.7162   17.5286
    19.00  264.8512   15.1959
    19.25  263.2980   12.6773
    19.50  263.5598    9.9631
    19.75  262.7272    7.3297
    20.00  259.0945    4.7895
    20.25  256.0381    2.2328
    20.50  253.1068   -0.4404
    20.75  248.9290   -2.8778
    21.00  245.1506   -5.1760
    21.25  239.2388   -7.6759
    21.50  234.9552  -10.0919
    21.75  227.4040  -12.3118
    22.00  219.8184  -14.6174
    22.25  212.7392  -17.0265
    22.50  205.2836  -19.4309
    22.75  194.8122  -21.7862
    23.00  229.2269  -21.9266
    23.25  126.8966  -24.8968
    23.50  209.1709  -27.6319
    23.75  128.7744  -29.0282
    24.00  141.4229  -33.0154
    24.25  155.0918  -34.0869
    24.50   72.9380  -42.1899
    24.75  153.3670  -43.5001
    25.00   44.1446  -45.0224
    25.25   97.3343  -50.6809
    25.50   57.4826  -48.8784
    25.75   16.6216  -55.4801
    26.00   40.2942  -54.0970
    26.25   40.0380  -54.9944
    26.50   39.6968  -53.8401
    26.75   40.8158  -46.3123
    27.00   40.0422  -44.0111
    27.25   40.1522  -31.3166
    27.50   40.6992  -20.4805
    27.75   40.4366  -12.3263
    28.00   39.5170   -5.7709
    28.25   40.5014   -2.4114
    28.50   40.7720    1.7205
    28.75   40.6678    1.4514
    29.00   40.2168    0.1235
    29.25   40.0226    0.0290
    29.50   40.7984    0.0650
    29.75   40.5354    0.1656
    30.00   40.1884    0.1120
    30.25   39.7776   -0.0391
    30.50   39.9242   -0.1067
    30.75   40.9146   -0.0236
