     0.00    0.2480
     0.25   -0.7450
     0.50   -0.9574
     0.75    0.4150
     1.00    0.6420
     1.25    0.6692
     1.50   -0.4890
     1.75    0.7264
     2.00   -0.2850
     2.25   -0.1220
     2.50   -0.0972
     2.75   -0.7594
     3.00    0.7622
     3.25   -0.5750   -0.0774
     3.50   20.7262    0.8985
     3.75   44.0536    4.5125
     4.00   49.3792    9.7863
     4.25   33.0075   14.5313
     4.50    4.1268   16.6041
     4.75  -27.5677   15.2942
     5.00  -47.7352    8.8962
     5.25  -47.8173   -3.6327
     5.50  -28.3313  -18.2567
     5.75   -0.7444  -29.0737
     6.00   -0.9298  -33.2926
     6.25   -0.0656  -30.7329
     6.50   -0.4120  -21.2730
     6.75    0.3110   -7.0628
     7.00   -0.4410    6.5817
     7.25   -0.0320   14.3631
     7.50    0.2470   16.6240
     7.75    0.8072   15.4909
     8.00    0.2230   11.4177
     8.25    0.2898    6.1490
     8.50    0.2222    1.9614
     8.75   -0.1350    0.4035
     9.00   -0.7706    0.2363
     9.25    0.0036    0.0212
     9.50   -0.4084   -0.1423
     9.75   -0.0554   -0.2306
    10.00    0.8816   -0.2488
    10.25   30.8154    1.4761
    10.50   50.2019    6.0897
    10.75   52.3502   11.9308
    11.00   34.2599   16.8447
    11.25    8.8366   19.3190
    11.50  -12.6885   19.0416
    11.75  -18.9608   13.7663
    12.00   -3.8220    3.4483
    12.25   29.8658   -6.5421
    12.50   74.3587  -10.3977
    12.75  113.5799   -4.7709
    13.00  137.7256    9.6644
    13.25  143.0452   30.5403
    13.50  129.3698   52.7068
    13.75  110.0043   68.8090
    14.00   99.7873   73.6953
    14.25  104.3849   66.5503
    14.50  130.1980   51.4459
    14.75  169.1173   35.1195
    15.00  212.0827   24.7632
    15.25  195.1181   22.2353
    15.50  203.9306   26.8847
    15.75  212.9482   37.7999
    16.00  220.4846   49.7761
    16.25  227.3920   56.9993
    16.50  234.2150   55.4227
    16.75  240.0080   49.8224
    17.00  245.8518   44.1310
    17.25  249.6958   36.6845
    17.50  254.0042   29.5410
    17.75  257.6772   24.8323
    18.00  259.8372   23.4712
    18.25  262.7286   22.4334
    18.50  263.0226   19.8268
    18.75  264.8912   17.2544
    19.00  263.8060   14.7394
    19.25  263.5588   12.0660
    19.50  262.8418    9.4537
    19.75  261.5992    6.8722
    20.00  260.6223    4.4599
    20.25  257.5778    2.1222
    20.50  254.1296   -0.2105
    20.75  249.0416   -2.4259
    21.00  245.4184   -4.6940
    21.25  239.4032   -6.9993
    21.50  233.2892   -9.5548
    21.75  227.9516  -12.1796
    22.00  220.2932  -14.7614
    22.25  213.3354  -17.2807
    22.50  204.8016  -19.7464
    22.75  195.3684  -22.2482
    23.00  211.3865  -23.1598
    23.25  222.8700  -21.4945
    23.50  214.4503  -18.5757
    23.75  183.6528  -16.6859
    24.00  141.5300  -17.6099
    24.25   99.1243  -21.7690
    24.50   68.4640  -31.3928
    24.75   56.9527  -47.0515
    25.00   63.5921  -64.0432
    25.25   79.5355  -76.2348
    25.50   92.4874  -79.5796
    25.75   90.4447  -73.9244
    26.00   40.9698  -62.6470
    26.25   40.2040  -47.9472
    26.50   39.1260  -32.6383
    26.75   39.1758  -22.0744
    27.00   39.7394  -18.7382
    27.25   39.5930  -21.2869
    27.50   39.9312  -22.1601
    27.75   39.6616  -19.7900
    28.00   40.4974  -17.4542
    28.25   39.4860  -13.7594
    28.50   39.3800   -8.5894
    28.75   39.9158   -2.8359
    29.00   39.3658    0.0334
    29.25   39.6942    0.0916
    29.50   40.5940    0.0528
    29.75   40.1590    0.0021
    30.00   40.4562    0.1020
    30.25   39.8206    0.1585
    30.50   40.8336    0.2483
    30.75   39.6426    0.3565
