     0.00   -0.5086
     0.25   -0.4222
     0.50    0.0686
     0.75    0.8610
     1.00   -0.7856
     1.25    0.8024
     1.50   -0.9898
     1.75   -0.1460
     2.00    0.4972
     2.25   -0.3524   -0.1869
     2.50   -0.4444   -0.2839
     2.75    0.7298    0.1520
     3.00    0.6976    0.2520
     3.25   -0.4330    0.2510
     3.50   38.9549    5.2420
     3.75   40.2432   14.9284
     4.00  -16.3308   17.6045
     4.25  -48.9813    9.3925
     4.50   -7.7923   -7.4343
     4.75   -0.2470  -28.2031
     5.00   -0.4056  -34.0843
     5.25   -0.9450  -17.8921
     5.50   -0.7174    0.9088
     5.75    0.3532   12.7728
     6.00   -0.2484   15.9381
     6.25   -0.9214    7.9656
     6.50   -0.7628    1.0739
     6.75    0.4502    0.1210
     7.00   -0.7556   -0.0249
     7.25    0.0252    0.0074
     7.50   -0.5772    0.1516
     7.75   -0.9938   -0.0121
     8.00    0.6032    0.0285
     8.25   -0.2382    0.1105
     8.50    0.8672    0.1166
     8.75    0.0880    0.5897
     9.00    0.8348    0.7645
     9.25    0.8774    0.7960
     9.50    0.2126    0.7060
     9.75    0.3320    0.3389
    10.00    0.7954    0.2003
    10.25   48.9474    6.0357
    10.50   26.7821   15.3080
    10.75  -29.3502   14.9703
    11.00  -32.8954    7.0231
    11.25   29.2392   -5.6556
    11.50   72.8288  -11.6933
    11.75   43.3286    3.5365
    12.00   -3.2885   24.2438
    12.25   14.9265   32.8305
    12.50   85.3805   29.3181
    12.75  123.0866   26.0161
    13.00   88.1920   34.6352
    13.25   54.9794   49.1650
    13.50   91.4082   55.1452
    13.75  164.9165   49.5887
    14.00  185.4315   45.5676
    14.25  140.6395   51.9884
    14.50  116.1116   60.0238
    14.75  163.4314   56.9439
    15.00  230.0672   44.9540
    15.25  196.1236   34.6065
    15.50  204.8570   38.8398
    15.75  212.2818   53.1369
    16.00  219.6916   52.5525
    16.25  226.9636   42.5956
    16.50  234.5012   32.1274
    16.75  240.0906   22.1096
    17.00  245.5676   24.0108
    17.25  248.6030   27.3922
    17.50  253.2040   24.8744
    17.75  257.3070   22.1827
    18.00  259.7478   19.3967
    18.25  261.8052   16.8800
    18.50  263.2312   14.7410
    18.75  263.9472   12.3345
    19.00  264.5464    9.8398
    19.25  265.1994    7.4411
    19.50  263.6752    5.0172
    19.75  260.8742    2.6051
    20.00  259.5444    0.1659
    20.25  256.6436   -2.5530
    20.50  253.5540   -5.3674
    20.75  249.7024   -7.7004
    21.00  244.3822   -9.9827
    21.25  240.0748  -12.2544
    21.50  234.3698  -14.3889
    21.75  227.9576  -16.8434
    22.00  221.3202  -19.1525
    22.25  212.9752  -21.4563
    22.50  205.5350  -23.9790
    22.75  196.0784  -26.4521
    23.00  229.0626  -23.8683
    23.25  211.6910  -16.7908
    23.50  140.4677  -18.0930
    23.75  104.7711  -30.0506
    24.00  142.0334  -49.3256
    24.25  178.7302  -65.1316
    24.50  141.6942  -60.8045
    24.75   66.7375  -45.8585
    25.00   45.7985  -40.3500
    25.25   86.3560  -48.9274
    25.50  108.4383  -60.6644
    25.75   54.2296  -61.7839
    26.00   39.1810  -47.3910
    26.25   40.9900  -30.3128
    26.50   39.8706  -28.8508
    26.75   39.3980  -33.5552
    27.00   40.1660  -32.8954
    27.25   39.1708  -26.5017
    27.50   40.6988  -12.3839
    27.75   40.2808   -1.7451
    28.00   39.8708    0.0592
    28.25   39.6778    0.1899
    28.50   39.3894    0.2135
    28.75   39.5234   -0.2587
    29.00   40.9588   -0.2909
    29.25   40.7842   -0.0430
    29.50   40.2076    0.2979
    29.75   40.0494    0.7242
    30.00   39.1862    0.5271
    30.25   40.1678   -0.0459
    30.50   40.7046   -0.3013
    30.75   39.7474   -0.4450
