     0.00   -0.8948
     0.25   -0.4332
     0.50   -0.7924
     0.75   -0.0554
     1.00   -0.2636
     1.25    0.8124
     1.50   -0.8788
     1.75    0.3838
     2.00   -0.2458
     2.25   -0.2214
     2.50    0.7230
     2.75   -0.9086
     3.00    0.6846
     3.25   -0.8638
     3.50   38.3685
     3.75   40.8934
     4.00  -16.7974
     4.25  -49.2125    2.4219
     4.50   -9.6495    0.5128
     4.75    0.3500    0.2073
     5.00   -0.7648    0.1983
     5.25   -0.1936    0.1967
     5.50    0.5734   -2.1375
     5.75    0.0666   -7.0868
     6.00   -0.0096   -8.5868
     6.25    0.8306   -4.4501
     6.50   -0.5816   -0.7477
     6.75   -0.5668   -0.2082
     7.00    0.7854   -0.1825
     7.25    0.7064   -0.0815
     7.50    0.1140    1.0924
     7.75    0.1612    3.5379
     8.00    0.5438    4.3094
     8.25    0.3216    2.2223
     8.50   -0.8942    0.3494
     8.75    0.5506    0.1198
     9.00   -0.5956    0.0918
     9.25   -0.7728   -0.0741
     9.50   -0.0656   -0.1397
     9.75    0.1586   -0.1340
    10.00   -0.7238   -0.1940
    10.25   49.8366    1.3124
    10.50   26.9703    3.7561
    10.75  -28.8824    3.6820
    11.00  -34.4370    1.7129
    11.25   28.8410    1.6702
    11.50   71.9470    4.8978
    11.75   43.3204    8.5027
    12.00   -4.6473    9.7686
    12.25   14.1873    7.0242
    12.50   87.2399    5.3755
    12.75  122.0982   12.0261
    13.00   88.9338   22.5769
    13.25   54.8590   27.3774
    13.50   91.4036   25.6227
    13.75  165.8973   26.4620
    14.00  185.0631   34.9948
    14.25  141.5457   46.1398
    14.50  116.0752   50.2515
    14.75  163.8746   45.8565
    15.00  228.9250   42.9633
    15.25  194.7784   47.0421
    15.50  204.4552   53.5264
    15.75  213.8098   54.1180
    16.00  220.1766   46.9535
    16.25  227.5298   40.8294
    16.50  234.4916   42.3359
    16.75  239.1452   46.1820
    17.00  245.2132   43.3630
    17.25  250.3152   36.8603
    17.50  254.0850   32.2414
    17.75  257.4332   30.1255
    18.00  260.3492   30.1495
    18.25  262.1448   28.7023
    18.50  263.0958   24.2904
    18.75  264.2774   19.9170
    19.00  263.7584   18.4207
    19.25  264.9116   17.2118
    19.50  262.7268   14.6516
    19.75  261.4568   12.1332
    20.00  260.5175    9.6456
    20.25  256.2841    7.1306
    20.50  253.1482    4.6609
    20.75  249.4172    2.2064
    21.00  245.1728   -0.2037
    21.25  240.3938   -2.5863
    21.50  233.0654   -5.0056
    21.75  228.3798   -7.3620
    22.00  219.8158   -9.7986
    22.25  213.6344  -12.2254
    22.50  205.1300  -14.5648
    22.75  195.4320  -16.9771
    23.00  229.6470  -18.1042
    23.25  212.1544  -18.1248
    23.50  140.0787  -20.2201
    23.75  106.5699  -24.9719
    24.00  141.7926  -28.9111
    24.25  178.3318  -29.8478
    24.50  140.5476  -30.1358
    24.75   67.4129  -32.9670
    25.00   45.1123  -40.5621
    25.25   86.0906  -48.9006
    25.50  108.5103  -50.0383
    25.75   54.1450  -45.9507
    26.00   40.5256  -44.5088
    26.25   39.6560  -48.4656
    26.50   40.8458  -52.7935
    26.75   40.6840  -50.7256
    27.00   40.5442  -41.9364
    27.25   40.4680  -33.7986
    27.50   40.5674  -32.4215
    27.75   39.6320  -32.3735
    28.00   40.0788  -28.0381
    28.25   40.4110  -20.5303
    28.50   40.4556  -13.0696
    28.75   40.5222   -9.1359
    29.00   39.2816   -8.2024
    29.25   39.8164   -6.6937
    29.50   40.3582   -3.1717
    29.75   39.5974   -0.6026
    30.00   39.6072   -0.1509
    30.25   39.1836   -0.2136
    30.50   39.6060   -0.2899
    30.75   40.0232   -0.3148
