     0.00   -0.4902
     0.12   -0.1696
     0.25    0.9826
     0.38    0.5038
     0.50   -0.8122
     0.62    0.0630
     0.75   -0.8934
     0.88    0.3716
     1.00   -0.2644
     1.12    0.5086
     1.25    0.9396
     1.38   -0.6010
     1.50    0.4778
     1.62    0.6620
     1.75   -0.4418
     1.88    0.2734
     2.00    0.1162
     2.12    0.9240
     2.25   -0.3434
     2.38    0.9760
     2.50    0.1340
     2.62   -0.0296
     2.75    0.5138
     2.88    0.8090
     3.00    0.2690
     3.12   -0.8932    0.0868
     3.25    0.3414    0.0818
     3.38   11.7778    0.4691
     3.50   38.9269    1.8474
     3.62   50.6780    4.2578
     3.75   41.2072    6.7549
     3.88   15.4398    8.2787
     4.00  -16.2750    8.1969
     4.12  -41.9374    6.5808
     4.25  -49.9009    4.0431
     4.38  -37.8492    1.5415
     4.50   -9.3863    0.1661
     4.62   -0.7142   -0.0481
     4.75   -0.3438   -0.0408
     4.88   -0.6986   -0.7477
     5.00    0.7944   -3.5511
     5.12    0.8664   -8.4541
     5.25    0.9708  -13.4917
     5.38   -0.4574  -16.6069
     5.50    0.5284  -16.5277
     5.62   -0.4710  -13.2892
     5.75    0.8160   -8.1641
     5.88   -0.3554   -3.2395
     6.00   -0.5470   -0.6104
     6.12   -0.5272   -0.0965
     6.25   -0.3794   -0.0782
     6.38   -0.1426    0.3019
     6.50   -0.2864    1.6931
     6.62    0.4048    4.0931
     6.75   -0.3334    6.5454
     6.88    0.9826    8.1084
     7.00    0.5116    8.1228
     7.12   -0.9920    6.4893
     7.25    0.2088    3.8973
     7.38    0.1362    1.4438
     7.50    0.0040    0.1857
     7.62   -0.5414   -0.0501
     7.75   -0.4590   -0.0569
     7.88   -0.1694   -0.0743
     8.00   -0.0386   -0.0536
     8.12   -0.2798   -0.0229
     8.25   -0.8848   -0.0082
     8.38   -0.4728   -0.0677
     8.50   -0.7236   -0.1820
     8.62   -0.2284   -0.1802
     8.75   -0.1714   -0.1382
