    22.00  530.1620
    22.25  528.7650
    22.50  527.7374
    22.75  526.9692
    23.00  524.2590
    23.25  522.5366
    23.50  517.5750
    23.75  514.2080
    24.00  510.1825
    24.25  504.4144
    24.50  499.1345
    24.75  492.0411
    25.00  485.8529
    25.25  477.9904  -16.9821
    25.50  468.7646  -19.5112
    25.75  460.4616  -22.0257
    26.00  450.0827  -24.5438
    26.25  440.3792  -27.0490
    26.50  455.5776  -28.1445
    26.75  467.7839  -26.6190
    27.00  407.0488  -26.3016
    27.25  344.8894  -31.4082
    27.50  356.0699  -37.8849
    27.75  401.8414  -39.6536
    28.00  397.0615  -40.4934
    28.25  325.0713  -49.4238
    28.50  272.6961  -60.8207
    28.75  292.2111  -61.3619
    29.00  332.0764  -53.9779
    29.25  306.3109  -53.2542
    29.50  229.0018  -62.5062
    29.75  186.2345  -68.3766
    30.00  215.7865  -63.8589
    30.25  244.4522  -59.2832
    30.50  200.6051  -64.9809
    30.75  117.8298  -76.1158
    31.00   89.4545  -79.6957
    31.25  122.9905  -73.9121
    31.50  136.4031  -70.9610
    31.75   75.6386  -78.9348
    32.00   40.3938  -87.2568
    32.25   40.2578  -82.6918
    32.50   39.4748  -71.5542
    32.75   40.1468  -67.6671
    33.00   39.0750  -69.7529
    33.25   40.0644  -63.3476
    33.50   39.3146  -47.1048
    33.75   39.3576  -34.0045
    34.00   40.0202  -26.9381
    34.25   40.1874  -19.5264
    34.50   40.4720   -9.4370
    34.75   40.6398   -1.9440
    35.00   39.4998    0.1346
    35.25   39.5662    0.2664
    35.50   40.9316    0.3484
    35.75   39.4604    0.3260
    36.00   40.0564    0.1827
    36.25   40.4526    0.0396
    36.50   40.9376    0.0669
    36.75   40.7306    0.1895
    37.00   40.7656    0.1828
    37.25   40.3662    0.2136
    37.50   40.6374    0.3597
    37.75   39.2204    0.3570
    38.00   39.8276    0.1574
    38.25   39.3402   -0.1260
