#Urano/Paraná-XVb		LT 7 Set 2018	StratoLoggerCF (SL-UP-1)
#t(s)           h(pé)           T               tensão
0.00	-936	32.0C	11.9
0.05	-977	32.0C	11.9
0.10	-1002	32.0C	11.9
0.15	-988	32.0C	11.9
0.20	-979	32.0C	11.9
0.25	-983	32.0C	11.9
0.30	-964	32.0C	11.9
0.35	-859	32.0C	11.9
0.40	-788	32.0C	11.9
0.45	-730	32.0C	11.9
0.50	-699	32.0C	11.9
0.55	-689	32.0C	11.9
0.60	-639	32.0C	11.9
0.65	-553	32.0C	11.9
0.70	-458	32.0C	11.9
0.75	-403	32.0C	11.9
0.80	-395	32.0C	11.9
0.85	-335	32.0C	11.9
0.90	-306	32.0C	11.9
0.95	-242	32.0C	11.9
1.00	-168	32.0C	11.9
1.05	-114	32.0C	11.9
1.10	-58	32.0C	11.9
1.15	-37	32.0C	11.9
1.20	-4	32.0C	11.9
1.25	57	32.0C	11.9
1.30	98	32.0C	11.9
1.35	156	32.0C	11.9
1.40	185	32.0C	11.9
1.45	222	32.0C	11.9
1.50	300	32.0C	11.9
1.55	311	32.0C	11.9
1.60	382	32.0C	11.9
1.65	417	32.0C	11.9
1.70	467	32.0C	11.9
1.75	502	32.0C	11.9
1.80	571	32.0C	11.9
1.85	596	32.0C	11.9
1.90	638	32.0C	11.9
1.95	663	32.0C	11.9
2.00	708	32.0C	11.9
2.05	727	32.0C	11.9
2.10	798	32.0C	11.9
2.15	821	32.0C	11.9
2.20	867	32.0C	11.9
2.25	901	32.0C	11.9
2.30	957	32.0C	11.9
2.35	975	32.0C	11.9
2.40	1006	32.0C	11.9
2.45	1060	32.0C	11.9
2.50	1075	32.0C	11.9
2.55	1108	32.0C	11.9
2.60	1146	32.0C	11.9
2.65	1192	32.0C	11.9
2.70	1208	32.0C	11.9
2.75	1240	32.0C	11.9
2.80	1284	32.0C	11.9
2.85	1319	32.0C	11.9
2.90	1342	32.0C	11.9
2.95	1378	32.0C	11.9
3.00	1427	32.0C	11.9
3.05	1448	32.0C	11.9
3.10	1473	32.0C	11.9
3.15	1503	32.0C	11.9
3.20	1551	32.0C	11.9
3.25	1567	32.0C	11.9
3.30	1598	32.0C	11.9
3.35	1632	32.0C	11.9
3.40	1666	32.0C	11.9
3.45	1684	32.0C	11.9
