    -5.00    0.0000
    -4.75    0.0000
    -4.50    0.0000
    -4.25    0.0000
    -4.00    0.0000
    -3.75    0.0000
    -3.50    0.0000
    -3.25    0.0000
    -3.00    0.0000
    -2.75    0.0000
    -2.50    0.0000
    -2.25    0.0000
    -2.00    0.0000
    -1.75    0.0000    0.0000
    -1.50    0.0000    0.0000
    -1.25    0.0000    0.0000
    -1.00    0.0000    0.0000
    -0.75    0.0000    0.0000
    -0.50    0.0000    0.0000
    -0.25    0.0000    0.0000
     0.00   -0.0000   -0.0000
     0.25 -299.6184  -16.6455
     0.50 -213.0552  -45.1273
     0.75 -122.8344  -63.7879
     1.00  -51.2064  -73.4568
     1.25   17.3736  -75.3364
     1.50   91.4400  -69.2912
     1.75  153.0096  -22.4197
     2.00  215.7984   55.0333
     2.25  274.6248  119.6001
     2.50  327.6600  172.3983
     2.75  377.9520  215.3581
     3.00  434.9496  248.4289
     3.25  477.6216  255.3208
     3.50  521.2080  241.3508
     3.75  563.5752  228.4645
     4.00  604.1136  216.7467
     4.25  640.0800  205.5876
     4.50  679.7040  194.6317
     4.75  716.2801  184.3701
     5.00  746.1505  175.1246
     5.25  772.6680  166.2176
     5.50  804.6720  157.5647
     5.75  831.1896  149.4028
     6.00  857.4024  141.7320
     6.25  886.6632  134.2136
     6.50  907.0848  126.8645
     6.75  926.8968  120.2605
     7.00  950.6712  114.1814
     7.25  973.5312  108.4410
     7.50  988.4664  103.1409
     7.75 1008.8880   97.8747
     8.00 1026.5664   92.8963
     8.25 1041.8064   88.4089
     8.50 1060.3992   84.2095
     8.75 1072.2864   79.7729
     9.00 1090.2697   75.7259
     9.25 1099.4136   72.3392
     9.50 1114.6536   68.8340
     9.75 1123.7976   65.2610
    10.00 1135.0752   61.4849
    10.25 1146.6576   58.1829
    10.50 1153.6680   54.6947
    10.75 1164.6407   51.1555
    11.00 1171.0416   47.9891
    11.25 1176.5280   44.6024
    11.50 1184.7576   41.5883
    11.75 1191.1584   38.5403
    12.00 1194.2064   35.6108
    12.25 1199.3879   32.6475
    12.50 1203.0457   29.5994
    12.75 1207.0081   27.0087
    13.00 1208.5320   24.3333
    13.25 1209.4464   21.4376
    13.50 1211.2751   18.6775
    13.75 1008.8872    4.8599
    14.00 1214.0184   -8.8224
    14.25 1212.4944  -11.3793
    14.50 1217.3712  -13.5977
    14.75 1215.2375  -15.1216
    15.00 1210.0560  -16.8319
    15.25 1207.3127    3.7592
    15.50 1207.0081   24.3671
    15.75 1202.7408   22.5213
    16.00 1200.6072   20.2524
    16.25 1205.7888   17.9833
    16.50 1201.5216   16.7301
    16.75 1199.3879    4.8599
    17.00 1194.2064   -6.9257
    17.25 1190.8536   -7.3659
    17.50 1187.1960   -7.2982
    17.75 1185.3672   -7.7216
    18.00 1182.3192   -8.9239
    18.25 1182.6240  -10.0076
    18.50 1175.6136  -10.8203
    18.75 1174.0896  -11.4130
    19.00 1175.6136  -11.5824
    19.25 1169.5176  -11.2267
