    -3.84    0.0000
    -3.59    0.0000
    -3.34    0.0000
    -3.09    0.0000
    -2.84    0.0000
    -2.59    0.0000
    -2.34    0.0000
    -2.09    0.0000
    -1.84    0.0000
    -1.59    0.0000
    -1.34    0.0000
    -1.09    0.0000
    -0.84    0.0000
    -0.59    0.0000    0.0000
    -0.34    0.0000    0.0000
    -0.09    0.0000    0.0000
     0.16   -1.5833   -0.0880
     0.41    8.8958    0.3183
     0.66    8.9812    1.3115
     0.91    9.5250    2.3396
     1.16   25.2208    4.2699
     1.41   22.1969    6.9042
     1.66   44.1188   10.7644
     1.91   35.8823   14.3964
     2.16   41.3750   16.7021
     2.41   28.2125   18.5118
     2.66   23.7812   17.5397
     2.91   29.2969   15.2198
     3.16   29.1083   11.0082
     3.41   22.2031    5.3761
     3.66   49.8875    1.7902
     3.91   24.5854   -0.7763
     4.16   22.5000   -2.0072
     4.41   20.6875   -2.8711
     4.66   12.2312   -3.8476
     4.91   15.9708   -3.5376
     5.16    7.4750   -5.9530
     5.41    7.9385   -9.5055
     5.66    6.1313  -11.0670
     5.91    4.9594  -12.3007
     6.16   -7.8583  -12.8747
     6.41  -12.8021  -14.3054
     6.66  -14.4000  -14.4167
     6.91   -7.5719  -13.2126
     7.16  -10.0500  -13.1390
     7.41  -14.4844  -13.3350
     7.66  -17.5625  -12.9645
     7.91  -17.4198  -11.0455
     8.16  -17.8000   -8.6772
     8.41  -17.4583   -7.3384
     8.66  -17.8792   -6.5619
     8.91  -17.3750   -5.1783
     9.16  -17.3958   -3.7103
     9.41  -17.1021   -2.8877
     9.66  -17.3000   -2.3969
     9.91  -17.3615   -1.6256
    10.16  -17.0333   -0.5890
    10.41  -17.1437    0.0664
    10.66  -17.2479    0.2388
    10.91  -16.7885    0.2375
    11.16  -17.1875    0.2157
    11.41  -16.9292    0.2128
    11.66  -16.4083    0.2192
    11.91  -16.6906    0.2193
    12.16  -14.7333    0.3631
    12.41  -16.3552    0.5012
    12.66  -16.3813    0.5464
    12.91  -16.2240    0.6001
    13.16  -16.4625    0.5775
    13.41  -16.6000    0.5197
    13.66  -16.5562    0.2586
    13.91  -16.4344   -0.0109
    14.16  -16.4500   -0.0880
    14.41  -16.5844   -0.1958
    14.66  -16.3708   -0.2469
    14.91  -16.6313   -0.2455
    15.16  -16.2208   -0.1324
    15.41  -16.1260    0.0090
    15.66  -16.4813    0.0326
    15.91  -16.5271    0.0579
    16.16  -16.5167    0.0679
    16.41  -16.1938    0.0808
    16.66  -16.0687    0.0966
    16.91  -16.5927    0.0434
    17.16  -16.3875    0.0073
    17.41  -16.3354    0.0217
    17.66  -16.4979    0.0383
    17.91  -16.1844    0.0237
    18.16  -16.1667   -0.0140
    18.41  -16.0000    0.0310
    18.66  -15.6312    0.1266
    18.91  -15.9552    0.1739
    19.16  -16.3333    0.1925
    19.41  -15.7906    0.2219
    19.66  -15.8188    0.2681
    19.91  -16.0000    0.2599
    20.16  -16.0000    0.1645
    20.41  -16.0000    0.0784
    20.66  -16.0000    0.0641
    20.91  -16.0000    0.0400
    21.16  -16.0000   -0.0229
    21.41  -16.0000   -0.0523
    21.66  -16.0000   -0.0318
    21.91  -16.0000   -0.0089
    22.16  -16.0000   -0.0249
    22.41  -16.0000   -0.0318
    22.66  -16.0000   -0.0101
    22.91  -16.0000    0.0000
    23.16  -16.0000    0.0000
    23.41  -16.0000    0.0000
    23.66  -16.0000    0.0000
